Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
1/3/2007,6.69E-05,-0.00034745,-0.000135354,-0.000415859,0.000143635,0.001039421,-0.00160254,-0.000238549,0.001051595,0.001662241,-0.002213624,-0.00276641,0.005303446,0.00222277,-0.004674486,0.003229385,0.007561203,0.003513571,0.01335877,0.004035522,0.000313324,0.000545519,0.004164097,0.008258095,0.001328138,0.001564904,-0.000132605,0.002058205,0.007988,0.013712449,0.001311257,-0.001648537,-0.002159741,-0.001639704,0.002282596,-0.001857003,0.002240229,0.00163436,0.003550837,-0.002294063,0.008734435,0.002806131,-0.002354855,0.001143174,0.007275161,0.001533743,0.003858005,0.011159073,0.003617759,0.004526807,0.003582928,0.003280165,0.003885072,0.00239685,0.004802332,-0.005893261,0.003407655,-0.008389395,0.004480581,-0.037071069,-0.02495463,0.006573873,0.00258159,0.012442819,-0.01653455,0.012484578,0.000150815,-0.005439986,-0.006549404,-0.002473738,0.001513047,-0.003325339,0.006140626,0.00469076,0.010228076,0.020196074,0.041796626,0.00616707,0.011981733,0.020449685,-0.000459764
1/4/2007,-0.001592312,-0.000391181,0.001362023,-0.000621471,0.000142545,0.000372048,-0.000631104,0.000357153,-0.000295927,0.000579824,-0.000109253,-0.000164327,-0.003873658,0.002385859,-0.003801584,0.001618442,0.005787657,-0.001916799,0.002428174,-0.001006571,6.16E-05,0.007206139,0.002210292,0.001816565,0.00308012,-0.009757259,-0.003223926,-0.003171061,-0.001381829,-0.00210453,0.004898753,-0.002005556,0.00680993,0.011488709,0.007205753,0.005565412,-8.13E-06,0.003029357,0.001460659,0.001695028,-0.002388602,-0.002315537,0.000130872,-0.001720375,0.013610167,0.00545074,0.008384669,0.01680933,0.004879883,0.006853518,0.009602723,0.01527345,-0.006481666,-0.000289488,-0.001175706,-0.006697083,-0.001441531,0.003115772,-0.002219727,-0.027125339,-0.013110434,-0.0076487,-0.003765838,-0.006622195,-0.003958045,-0.008768367,-0.003164355,-0.00393025,-0.007044562,-0.001735613,-0.002371728,-0.003065022,0.001222033,0.001893311,0.003053152,0.004110603,0.014400897,0.003381792,0.00943623,0.004038513,0.000931914
1/5/2007,-0.000924309,0.000355881,0.000217301,-0.000351128,0.00106116,-0.000787976,0.005428152,0.002869972,-4.96E-05,-0.001193873,-0.004673378,-0.001095983,-0.005279654,-0.002208216,0.006590336,0.003633527,-0.002661687,-0.000319577,0.002305412,0.002936745,-0.000606814,-0.001430075,-0.000635989,-0.003279702,0.002420412,0.000331799,0.00083016,0.000507994,0.001174827,0.007129967,0.003744675,3.64E-05,0.001495315,0.006828883,0.003132476,-0.001674427,-0.006290964,-0.00071023,0.000584743,-0.001858956,0.003406304,0.000286772,-0.004973539,-0.001168401,0.002340007,0.000477269,0.001342113,-0.000425986,0.001334915,-0.000600577,-0.00093597,-0.001973486,-0.001224841,-0.000715061,-0.01152492,-0.005689056,-0.009862286,0.008487803,-0.006758642,0.008718558,0.011730807,0.002050842,0.003817353,0.00146599,0.003862082,0.000650746,0.006212169,0.005658597,0.001703721,-0.00240164,-0.000297858,0.001294366,-0.006672754,-0.001612687,0.00230616,-0.000485726,-0.002142568,0.009055612,-0.002324607,-2.68E-05,-0.008515081
1/8/2007,0.000233673,0.00016364,0.00042686,0.000824174,-0.000148407,-0.000272235,0.001211931,0.000174011,0.002218469,0.000583566,-0.000272614,-4.53E-05,-5.34E-05,0.004493547,-0.010157153,-0.004095983,0.000320255,5.21E-05,-0.004260834,0.002347088,-0.006927166,-0.005517181,-0.00261629,-0.001866116,-0.001545559,0.000291632,0.001401169,0.002960437,-0.000111989,-0.001897578,0.000473846,0.002318101,-0.005184001,-0.002155414,-0.001308244,-0.00092423,-0.001666803,-0.003402024,0.000863134,0.000972776,0.008717919,-0.002373062,-0.003603738,-0.003449522,-0.001084296,-1.29E-05,0.00099834,-0.00662266,0.0045308,-0.001439759,0.000170827,0.001477868,-0.002597462,-0.001957499,-0.004239111,0.000652978,-0.00515241,-0.000803686,-0.00334468,0.001948792,0.004024824,-0.004711232,-0.002088134,0.001656202,0.002636587,0.003173898,0.004370173,-0.004604011,0.000782379,-0.000100626,0.00109628,-8.21E-06,0.000822443,0.003242044,-0.001160963,0.001650327,0.002058045,-0.00096738,-0.000713823,0.001835278,0.002337265
1/9/2007,-0.000686046,0.000172788,0.00035048,-0.000162777,0.000103665,0.000120832,-0.001374897,-0.000226167,0.000807564,-8.40E-05,-0.000627133,-0.002416033,0.006536429,0.007384067,0.002746294,0.00112264,0.005899268,0.004232002,0.00077676,0.000107534,0.005377968,0.00518129,0.009997568,0.010043675,0.00164605,-0.001263725,-0.001930864,-0.000347004,0.001309054,0.001154649,-0.002210801,-0.005935469,-0.000280199,0.003180545,0.001043083,0.003923246,-0.003262332,-0.005623327,-0.004623186,-0.001450689,0.003135109,-0.003036911,0.007455413,0.006816113,-0.000219116,0.00174267,0.000610633,-0.006018601,0.004842453,-0.003378718,-0.002038309,0.005674176,0.000192968,-0.00498965,-0.002502048,-0.001155224,-0.000774234,-0.000775282,0.003055477,-0.007219627,-0.007939249,-7.85E-05,0.000233824,-0.003139133,-0.005813788,-0.001590576,0.000177156,-0.000714933,0.000528139,0.001951267,-0.000178638,0.002632804,-0.001428151,-1.91E-06,-0.002096608,-0.000122572,0.008341956,0.000562803,0.001538649,0.002609419,0.001089566
1/10/2007,-0.001503442,-0.000155433,0.000242588,-0.001416286,-0.000331586,-0.000424652,0.002186843,0.001125977,0.000841422,5.86E-05,-0.000592302,-0.000654517,-0.005813243,-0.007615372,0.001344207,-0.003110916,-0.003572995,0.002523039,0.001388715,0.002658908,-0.002394009,0.001503672,0.000434118,-0.000124525,-0.000438357,0.003836466,-0.001604085,0.003865773,0.002532022,-0.000222936,-0.00254477,-0.000562857,-0.001634103,0.003010776,-0.00358596,-0.001292409,-0.00195104,-0.00078346,0.004116857,-0.009621655,0.006486558,-0.001203966,0.008079767,0.002816172,0.003675099,-0.001903709,-0.000165565,0.000235967,0.005522089,-0.003620768,0.000867004,0.01385831,-0.004279704,0.014896472,-0.000717601,-0.005194778,-0.001997086,0.002342303,0.002630652,-0.013229352,-0.010424069,-0.001789945,0.001075558,-0.001230866,0.005572496,-0.002904732,0.00272151,-0.000327807,0.003114902,-0.004873956,-0.001259389,-0.00053507,0.000994675,-0.002147157,-0.002038335,-0.003276031,0.0226594,-0.002244245,-0.006269912,-0.000758087,0.00305447
1/11/2007,0.00056185,-0.000280001,0.000381729,0.000663578,-0.000381941,3.91E-05,-0.002062893,-0.000380252,0.001314435,0.000241939,0.002565937,-0.000695124,0.001943353,0.008467722,0.003618092,0.000448293,0.000481783,0.003945573,0.000295212,-0.000751783,-0.005436101,0.001439011,0.00860405,0.008128179,0.00104679,0.000636807,-0.000349983,-0.00075129,-0.003175994,-0.003195209,0.002014098,0.006268954,-0.006607256,0.003002965,-0.00132172,0.008425985,-0.004655472,-0.002251817,-0.004023987,0.001359566,0.003481845,-0.003665209,0.002105293,0.002872384,-0.001110176,-0.003821695,-0.003000722,-0.002291919,-0.00952813,-0.000401729,-0.000891893,-0.005653834,0.003073972,0.00095687,-0.006487344,-0.002142741,-0.008656581,-0.013486217,-0.006094913,-0.018653845,-0.010975149,0.005787932,0.005709162,-0.000826092,-0.003538245,0.003485588,0.000561067,-0.003575745,-0.00606088,-0.000525613,0.003853111,0.000281184,0.007444795,-0.000922387,0.006154526,0.000141583,0.01795937,-0.001174009,-0.003112185,0.000650885,0.008165866
1/12/2007,-0.000148833,-0.000369998,2.50E-05,-0.000493844,-0.000510943,-0.000277172,0.000264685,0.000325607,-0.000361478,-0.000535707,0.003025872,0.001924685,-0.005792891,-0.004651867,-0.004507053,-0.008123238,-0.003955241,-0.005015695,0.003901051,-0.001508321,-0.001830609,-0.006499685,0.001309714,-0.00178211,-8.51E-05,-0.002205036,-0.00723318,-0.00879775,-0.000878337,-0.00549029,0.00076093,-0.000677454,0.004116199,0.001803655,-0.002100058,0.000180591,-0.002365607,-0.001243184,-0.002315208,-0.004062594,0.00013604,-0.001745033,-0.000127532,-0.003445361,-0.001833267,-0.003508579,-0.00530131,-0.004418375,-0.007490968,-0.00339691,-0.003204801,-0.005230045,0.001190384,-0.003748222,-0.008532217,0.001397311,-0.007099461,-0.005268751,-0.008262938,0.019958055,0.014309246,0.007442598,0.006111152,0.003143049,0.004023691,0.001295844,-0.006155376,-0.003258933,-0.000264251,-0.00137561,-0.000373742,-0.001433849,0.000751492,-0.000436453,-0.006148922,0.004381916,-0.005160056,0.00857686,0.007264332,0.002363699,0.004756378
1/16/2007,-0.000903831,0.000336479,-0.000862523,-0.001429875,1.09E-05,-4.73E-05,0.002988147,-0.000468565,0.001232902,-0.000628748,-0.001866868,-0.001996708,0.01289494,0.008597381,0.000191737,0.000221317,0.006951091,0.005505834,-0.001734599,0.002786715,0.011331666,0.004973951,0.005014163,-2.97E-05,0.000727647,-0.002974313,-0.001284091,0.003336039,-0.000900566,0.007561521,0.000383641,0.006786915,0.004272275,0.00162275,-0.000514284,-9.59E-05,-0.005397771,-0.00637212,-0.001131316,-0.008263848,0.000328856,-4.79E-05,0.007158024,0.008633089,0.005157473,0.0001946,0.002201718,0.003958486,0.001878209,0.000215113,0.002336008,-0.003902346,0.002921493,-0.005312988,-0.001473755,-0.002085361,-0.00010237,0.008699904,0.003663147,-0.006634744,-0.00517832,-0.001443227,0.009164143,-0.001186699,-0.006054362,0.002759571,0.001263894,0.011724298,0.002422306,0.000872214,0.001633467,0.000933813,0.002122449,0.000591802,0.00069655,0.013089,0.024947926,0.009172022,0.017016559,0.014847545,0.00030006
1/17/2007,0.000182978,-0.000112707,0.000665314,0.000735585,-0.000273651,-0.000485182,0.001711573,0.000190402,0.000227307,-0.000601015,-0.001173246,-0.000985121,0.003088928,0.006376782,0.008772504,0.004342214,-0.000305875,-0.00341766,0.004269398,-0.0008018,-0.003416894,-0.002151135,-0.004747867,-0.002525295,-0.000148476,0.003986393,-0.003088508,-0.005053839,0.002932355,-0.002677341,0.006914619,0.001793284,-0.006433686,0.003587108,0.007095695,0.002173334,-0.005896599,-0.008233618,0.002820637,-0.002245567,-0.000520097,-0.003675769,0.001090185,-0.000947763,-0.005545162,0.000949038,0.001281479,-0.008775214,-0.006745442,0.00036434,-0.007622682,-0.003088096,-0.006028573,-0.005132768,-0.000222428,0.001928461,-0.000833182,0.004753013,0.00044885,0.01172551,0.007681479,0.004717546,0.005426997,0.00127115,0.008362457,-0.002288833,0.000263854,0.006435651,0.005460859,0.004612097,0.001806939,0.005358245,0.005348899,-0.001089976,0.006241357,-0.003453171,-0.02930383,0.001340655,-0.004451773,-0.000555811,-0.000652283
