Date,1,2,3,4,5,6,7,8,9,10
1/3/2007,6.69E-05,-0.00034745,-0.000135354,-0.000415859,0.000143635,0.001039421,-0.00160254,-0.000238549,0.001051595,0.001662241
1/4/2007,-0.001592312,-0.000391181,0.001362023,-0.000621471,0.000142545,0.000372048,-0.000631104,0.000357153,-0.000295927,0.000579824
1/5/2007,-0.000924309,0.000355881,0.000217301,-0.000351128,0.00106116,-0.000787976,0.005428152,0.002869972,-4.96E-05,-0.001193873
1/8/2007,0.000233673,0.00016364,0.00042686,0.000824174,-0.000148407,-0.000272235,0.001211931,0.000174011,0.002218469,0.000583566
1/9/2007,-0.000686046,0.000172788,0.00035048,-0.000162777,0.000103665,0.000120832,-0.001374897,-0.000226167,0.000807564,-8.40E-05
1/10/2007,-0.001503442,-0.000155433,0.000242588,-0.001416286,-0.000331586,-0.000424652,0.002186843,0.001125977,0.000841422,5.86E-05
1/11/2007,0.00056185,-0.000280001,0.000381729,0.000663578,-0.000381941,3.91E-05,-0.002062893,-0.000380252,0.001314435,0.000241939
1/12/2007,-0.000148833,-0.000369998,2.50E-05,-0.000493844,-0.000510943,-0.000277172,0.000264685,0.000325607,-0.000361478,-0.000535707
1/16/2007,-0.000903831,0.000336479,-0.000862523,-0.001429875,1.09E-05,-4.73E-05,0.002988147,-0.000468565,0.001232902,-0.000628748
1/17/2007,0.000182978,-0.000112707,0.000665314,0.000735585,-0.000273651,-0.000485182,0.001711573,0.000190402,0.000227307,-0.000601015
1/18/2007,0.001484885,0.00082154,1.71E-06,0.002308133,-0.000923687,0.000227466,0.002608451,-2.94E-05,-0.000991377,-0.000546632
1/19/2007,0.001042914,7.37E-05,-0.000321156,0.000795502,-0.000257092,-9.41E-05,-0.000791967,2.27E-05,-0.000142514,-0.001178322
1/22/2007,-9.80E-06,0.001267534,4.08E-05,0.00129855,0.0007811,-2.51E-05,-0.000599175,0.000561929,0.000260677,-0.000417542
1/23/2007,0.001406967,2.45E-05,0.000511786,0.001943262,0.000122147,-0.000226455,-0.001419529,9.66E-05,0.001276739,-0.00054902
1/24/2007,0.000969125,0.000536915,0.00039964,0.00190568,7.98E-05,-0.000188179,0.000627173,-0.000402855,0.000797182,-7.26E-05
1/25/2007,-0.001556651,0.000319118,0.00049248,-0.000745054,0.000573046,-0.000104641,-0.003032681,0.000398924,-0.00132983,-0.00058081
1/26/2007,-0.000216135,0.000138428,-0.000103302,-0.000181009,-0.000237807,0.000221932,-0.004224627,-0.000328583,9.31E-05,-4.01E-05
1/29/2007,0.001001385,0.000186473,0.000468644,0.001656502,0.000679951,-8.75E-05,-0.00497431,-0.000598925,0.001266154,0.001449691
1/30/2007,0.001085235,-0.000911553,-0.000304141,-0.000130459,-0.000222228,-0.000281863,0.000782769,-0.000238198,-0.000180375,-0.000356149
1/31/2007,0.000574936,0.000379998,0.000417347,0.001372281,0.000249339,-5.83E-05,0.005813299,-6.61E-05,-0.00027456,-4.69E-05
2/1/2007,-0.000527863,-0.00101469,0.000391677,-0.001150876,-0.000251801,0.000494724,-0.000469595,0.00098964,0.000341334,-0.000260055
2/2/2007,0.001240541,0.00108117,-0.000413101,0.00190861,0.000155014,7.61E-05,7.90E-05,0.000965672,-8.67E-05,0.000391268
2/5/2007,-0.000931949,4.08E-05,0.000704712,-0.000186457,-0.000122686,8.10E-05,0.001149617,0.00049833,0.001289389,-0.000323785
2/6/2007,-0.00054821,-0.000534766,-0.000181081,-0.001264058,-0.00024092,-9.77E-05,-0.002378383,-3.25E-06,0.000730143,8.26E-05
2/7/2007,-0.000342231,0.000404033,-0.000602355,-0.000540553,0.000473871,-0.000319425,-0.001001375,-0.000238065,0.000604059,0.001027078
2/8/2007,-0.000801329,-0.001295925,1.16E-05,-0.002085683,-1.39E-05,-0.000542072,-0.001576385,-7.60E-05,6.30E-05,0.000141096
2/9/2007,-0.000743681,-9.31E-05,0.000240634,-0.000596195,-0.000750608,-0.000347322,-0.001895219,-0.000513326,-0.001530333,-0.000685332
2/12/2007,0.000819784,2.78E-05,-0.000187903,0.000659712,-0.000293381,0.00051607,-0.003747365,-0.001085306,-0.000422962,0.000930178
2/13/2007,0.001058491,0.000101225,0.000246017,0.001405734,-0.000449966,0.000258225,0.003072743,5.05E-05,0.000631669,0.000111807
2/14/2007,5.87E-05,0.000911487,-8.15E-05,0.00088875,0.000879072,0.000226299,0.005886989,0.001919626,-2.24E-05,-5.68E-05
2/15/2007,-0.000221082,0.000653692,0.000106231,0.00053884,1.39E-05,-0.000546541,-0.000212667,0.001157638,4.87E-05,0.000424011
2/16/2007,-0.000571205,-2.76E-05,0.000115645,-0.00048317,0.000642664,-0.000205922,-0.002236734,0.000445733,-0.000566776,-0.000610441
